Main;Set;Type;SampleSize;OutlierExclusion;Correlation;IndependentVariables;DV;mean;FPR;FPP
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;250;TRUE;0.1;1;1;0.2915;0.0709666666666667;0.2915
Main = TRUE;Ma;h1=Binary, Co=Binary;250;TRUE;0.1;2;1;0.11;0.0527142857142857;0.11
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;250;TRUE;0.1;2;1;0.46;0.103817857142857;0.46
Main = TRUE;Ma;h1=Normal, Co=Binary;250;TRUE;0.1;1;1;0.1045;0.0505;0.1045
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;250;TRUE;0.1;1;1;0.2875;0.07885;0.2875
Main = TRUE;Ma;h1=Normal, Co=Binary;250;TRUE;0.1;2;1;0.116;0.0497428571428571;0.116
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;250;TRUE;0.1;2;1;0.4565;0.122839285714286;0.4565
Main = TRUE;Ma;h1=Binary, Co=Normal;250;TRUE;0.1;1;1;0.129;0.0521666666666667;0.129
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;250;TRUE;0.1;1;1;0.3465;0.0731833333333333;0.3465
Main = TRUE;Ma;h1=Binary, Co=Normal;250;TRUE;0.1;2;1;0.1285;0.0486428571428572;0.1285
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;250;TRUE;0.1;2;1;0.5175;0.103860714285714;0.5175
Main = TRUE;Ma;h1=Normal, Co=Normal;300;TRUE;0.1;1;1;0.1125;0.0451666666666667;0.1125
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;300;TRUE;0.1;1;1;0.313;0.0782;0.313
Main = TRUE;Ma;h1=Normal, Co=Normal;300;TRUE;0.1;2;1;0.1315;0.0447428571428571;0.1315
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;300;TRUE;0.1;2;1;0.4875;0.119778571428571;0.4875
Main = TRUE;Ma;h1=Binary, Co=Binary;300;TRUE;0.1;1;1;0.1015;0.0569;0.1015
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;300;TRUE;0.1;1;1;0.269;0.0668333333333333;0.269
Main = TRUE;Ma;h1=Binary, Co=Binary;300;TRUE;0.1;2;1;0.104;0.0485428571428571;0.104
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;300;TRUE;0.1;2;1;0.439;0.0984785714285714;0.439
Main = TRUE;Ma;h1=Normal, Co=Binary;300;TRUE;0.1;1;1;0.109;0.0522;0.109
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;300;TRUE;0.1;1;1;0.2885;0.0839166666666667;0.2885
Main = TRUE;Ma;h1=Normal, Co=Binary;300;TRUE;0.1;2;1;0.125;0.0519857142857143;0.125
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;300;TRUE;0.1;2;1;0.451;0.119883928571429;0.451
Main = TRUE;Ma;h1=Binary, Co=Normal;300;TRUE;0.1;1;1;0.1025;0.0431;0.1025
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;300;TRUE;0.1;1;1;0.3435;0.0814666666666667;0.3435
Main = TRUE;Ma;h1=Binary, Co=Normal;300;TRUE;0.1;2;1;0.1255;0.0499285714285714;0.1255
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;300;TRUE;0.1;2;1;0.523;0.114517857142857;0.523
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;150;TRUE;0.2;1;1;0.154;0.05805;0.154
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;150;TRUE;0.2;2;1;0.1735;0.0544428571428571;0.1735
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;150;TRUE;0.2;1;1;0.1075;0.04625;0.1075
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;150;TRUE;0.2;2;1;0.129;0.0453142857142857;0.129
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;150;TRUE;0.2;1;1;0.118;0.04645;0.118
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;150;TRUE;0.2;2;1;0.1435;0.0438571428571429;0.1435
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;150;TRUE;0.2;1;1;0.1265;0.043775;0.1265
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;150;TRUE;0.2;2;1;0.157;0.0520285714285714;0.157
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;200;TRUE;0.2;1;1;0.1425;0.053625;0.1425
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;200;TRUE;0.2;2;1;0.1635;0.0512785714285714;0.1635
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;200;TRUE;0.2;1;1;0.1205;0.056225;0.1205
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;200;TRUE;0.2;2;1;0.1265;0.0462857142857143;0.1265
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;200;TRUE;0.2;1;1;0.1135;0.05145;0.1135
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;200;TRUE;0.2;2;1;0.1625;0.0529428571428571;0.1625
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;200;TRUE;0.2;1;1;0.1375;0.0502;0.1375
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;200;TRUE;0.2;2;1;0.165;0.0510214285714286;0.165
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;250;TRUE;0.2;1;1;0.139;0.0486;0.139
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;250;TRUE;0.2;2;1;0.1705;0.04825;0.1705
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;250;TRUE;0.2;1;1;0.12;0.059525;0.12
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;250;TRUE;0.2;2;1;0.132;0.0500357142857143;0.132
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;250;TRUE;0.2;1;1;0.115;0.0492;0.115
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;250;TRUE;0.2;2;1;0.1335;0.0468;0.1335
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;250;TRUE;0.2;1;1;0.135;0.049675;0.135
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;250;TRUE;0.2;2;1;0.16;0.0501857142857143;0.16
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;300;TRUE;0.2;1;1;0.134;0.046575;0.134
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;300;TRUE;0.2;2;1;0.174;0.0500357142857143;0.174
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;300;TRUE;0.2;1;1;0.1165;0.05805;0.1165
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;300;TRUE;0.2;2;1;0.128;0.0448642857142857;0.128
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;300;TRUE;0.2;1;1;0.1235;0.0557;0.1235
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;300;TRUE;0.2;2;1;0.1545;0.0494785714285714;0.1545
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;300;TRUE;0.2;1;1;0.1255;0.0503;0.1255
