Main;Set;Type;SampleSize;OutlierExclusion;Correlation;IndependentVariables;DV;mean;FPR;Pr
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;150;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma;h1=Normal, Co=Normal;150;TRUE;0.1;2;1;0.25;0.05;0.25
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;150;TRUE;0.1;2;1;0.5;0.0267857142857143;0.5
Main = TRUE;Ma;h1=Normal, Co=Normal;200;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;200;TRUE;0.1;1;1;0.25;0.05;0.25
Main = TRUE;Ma;h1=Normal, Co=Normal;200;TRUE;0.1;2;1;0.25;0.135714285714286;0.25
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;200;TRUE;0.1;2;1;0.5;0.221428571428571;0.5
Main = TRUE;Ma;h1=Binary, Co=Binary;200;TRUE;0.1;1;1;0.25;0.1;0.25
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;200;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma;h1=Binary, Co=Binary;200;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;200;TRUE;0.1;2;1;0.75;0.148214285714286;0.75
Main = TRUE;Ma;h1=Normal, Co=Binary;200;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;200;TRUE;0.1;1;1;0.5;0.025;0.5
Main = TRUE;Ma;h1=Normal, Co=Binary;200;TRUE;0.1;2;1;0.25;0.2;0.25
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;200;TRUE;0.1;2;1;0.5;0.0491071428571429;0.5
Main = TRUE;Ma;h1=Binary, Co=Normal;200;TRUE;0.1;1;1;0.25;0.0333333333333333;0.25
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;200;TRUE;0.1;1;1;0.25;0.0666666666666667;0.25
Main = TRUE;Ma;h1=Binary, Co=Normal;200;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;200;TRUE;0.1;2;1;0.75;0.00892857142857143;0.75
Main = TRUE;Ma;h1=Normal, Co=Normal;250;TRUE;0.1;1;1;0.25;0.0333333333333333;0.25
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;250;TRUE;0.1;1;1;0.75;0.375;0.75
Main = TRUE;Ma;h1=Normal, Co=Normal;250;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;250;TRUE;0.1;2;1;0.5;0.0776785714285714;0.5
Main = TRUE;Ma;h1=Binary, Co=Binary;250;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;250;TRUE;0.1;1;1;0.25;0.05;0.25
Main = TRUE;Ma;h1=Binary, Co=Binary;250;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;250;TRUE;0.1;2;1;0.5;0.0392857142857143;0.5
Main = TRUE;Ma;h1=Normal, Co=Binary;250;TRUE;0.1;1;1;0.25;0.0833333333333333;0.25
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;250;TRUE;0.1;1;1;0.75;0.291666666666667;0.75
Main = TRUE;Ma;h1=Normal, Co=Binary;250;TRUE;0.1;2;1;0.5;0.157142857142857;0.5
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;250;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma;h1=Binary, Co=Normal;250;TRUE;0.1;1;1;0.25;0.216666666666667;0.25
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;250;TRUE;0.1;1;1;0.25;0.0416666666666667;0.25
Main = TRUE;Ma;h1=Binary, Co=Normal;250;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;250;TRUE;0.1;2;1;0.25;0.075;0.25
Main = TRUE;Ma;h1=Normal, Co=Normal;300;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;300;TRUE;0.1;1;1;0.5;0.116666666666667;0.5
Main = TRUE;Ma;h1=Normal, Co=Normal;300;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;300;TRUE;0.1;2;1;0.75;0.228571428571429;0.75
Main = TRUE;Ma;h1=Binary, Co=Binary;300;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;300;TRUE;0.1;1;1;0.25;0.0166666666666667;0.25
Main = TRUE;Ma;h1=Binary, Co=Binary;300;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;300;TRUE;0.1;2;1;0.5;0.139285714285714;0.5
Main = TRUE;Ma;h1=Normal, Co=Binary;300;TRUE;0.1;1;1;0;0;0
