"","finalresultNorm.Pr","finalresultNorm.Power2","finalresultNorm.Power3","finalresultNorm.OutlierExclusion","finalresultNorm.IndependentVariables","finalresultNorm.Type","finalresultNorm.SampleSize","finalresultBin.Pr","finalresultBin.Power2","finalresultBin.Power3","finalresultBin.OutlierExclusion","finalresultBin.IndependentVariables","finalresultBin.Type","finalresultBin.SampleSize","finalresultNormBin.Pr","finalresultNormBin.Power2","finalresultNormBin.Power3","finalresultNormBin.OutlierExclusion","finalresultNormBin.IndependentVariables","finalresultNormBin.Type","finalresultNormBin.SampleSize","finalresultBinNorm.Pr","finalresultBinNorm.Power2","finalresultBinNorm.Power3","finalresultBinNorm.OutlierExclusion","finalresultBinNorm.IndependentVariables","finalresultBinNorm.Type","finalresultBinNorm.SampleSize"
"699",0.385666666666667,"Power2 True","Power3 FALSE","SD FALSE",3,1,450,0.427333333333333,"Power2 True","Power3 FALSE","SD FALSE",3,2,450,0.4,"Power2 True","Power3 FALSE","SD FALSE",3,3,450,0.443333333333333,"Power2 True","Power3 FALSE","SD FALSE",3,4,450
"709",0.181,"Power2 True","Power3 FALSE","SD FALSE",1,1,500,0.203333333333333,"Power2 True","Power3 FALSE","SD FALSE",1,2,500,0.171333333333333,"Power2 True","Power3 FALSE","SD FALSE",1,3,500,0.200333333333333,"Power2 True","Power3 FALSE","SD FALSE",1,4,500
"710",0.263333333333333,"Power2 True","Power3 FALSE","SD FALSE",2,1,500,0.316666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,2,500,0.261333333333333,"Power2 True","Power3 FALSE","SD FALSE",2,3,500,0.329666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,4,500
"711",0.381666666666667,"Power2 True","Power3 FALSE","SD FALSE",3,1,500,0.422333333333333,"Power2 True","Power3 FALSE","SD FALSE",3,2,500,0.380333333333333,"Power2 True","Power3 FALSE","SD FALSE",3,3,500,0.433,"Power2 True","Power3 FALSE","SD FALSE",3,4,500
"721",0.0666666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",1,1,50,0.0573333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,2,50,0.0763333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,3,50,0.0606666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",1,4,50
"722",0.0866666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,1,50,0.0866666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,2,50,0.0783333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,3,50,0.08,"Power2 FALSE","Power3 FALSE","SD FALSE",2,4,50
"723",0.0973333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",3,1,50,0.087,"Power2 FALSE","Power3 FALSE","SD FALSE",3,2,50,0.102,"Power2 FALSE","Power3 FALSE","SD FALSE",3,3,50,0.0906666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",3,4,50
"733",0.0743333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,1,100,0.063,"Power2 FALSE","Power3 FALSE","SD FALSE",1,2,100,0.06,"Power2 FALSE","Power3 FALSE","SD FALSE",1,3,100,0.0683333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,4,100
"734",0.074,"Power2 FALSE","Power3 FALSE","SD FALSE",2,1,100,0.0783333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,2,100,0.084,"Power2 FALSE","Power3 FALSE","SD FALSE",2,3,100,0.07,"Power2 FALSE","Power3 FALSE","SD FALSE",2,4,100
"735",0.0946666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",3,1,100,0.0816666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",3,2,100,0.0953333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",3,3,100,0.0906666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",3,4,100
