"","finalresultNorm.Pr","finalresultNorm.Interaction","finalresultNorm.OutlierExclusion","finalresultNorm.IndependentVariables","finalresultNorm.Type","finalresultNorm.SampleSize","finalresultBin.Pr","finalresultBin.Interaction","finalresultBin.OutlierExclusion","finalresultBin.IndependentVariables","finalresultBin.Type","finalresultBin.SampleSize","finalresultNormBin.Pr","finalresultNormBin.Interaction","finalresultNormBin.OutlierExclusion","finalresultNormBin.IndependentVariables","finalresultNormBin.Type","finalresultNormBin.SampleSize","finalresultBinNorm.Pr","finalresultBinNorm.Interaction","finalresultBinNorm.OutlierExclusion","finalresultBinNorm.IndependentVariables","finalresultBinNorm.Type","finalresultBinNorm.SampleSize"
"57",0.138,"In FALSE","SD TRUE",2,1,350,0.111,"In FALSE","SD TRUE",2,2,350,0.133,"In FALSE","SD TRUE",2,3,350,0.122,"In FALSE","SD TRUE",2,4,350
"58",0.105,"In FALSE","SD TRUE",2,1,400,0.111,"In FALSE","SD TRUE",2,2,400,0.116,"In FALSE","SD TRUE",2,3,400,0.14,"In FALSE","SD TRUE",2,4,400
"59",0.13,"In FALSE","SD TRUE",2,1,450,0.125,"In FALSE","SD TRUE",2,2,450,0.097,"In FALSE","SD TRUE",2,3,450,0.131,"In FALSE","SD TRUE",2,4,450
"60",0.116,"In FALSE","SD TRUE",2,1,500,0.117,"In FALSE","SD TRUE",2,2,500,0.114,"In FALSE","SD TRUE",2,3,500,0.145,"In FALSE","SD TRUE",2,4,500
"61",0.201,"In TRUE","SD FALSE",2,1,50,0.37,"In TRUE","SD FALSE",2,2,50,0.375,"In TRUE","SD FALSE",2,3,50,0.215,"In TRUE","SD FALSE",2,4,50
"62",0.217,"In TRUE","SD FALSE",2,1,100,0.477,"In TRUE","SD FALSE",2,2,100,0.573,"In TRUE","SD FALSE",2,3,100,0.223,"In TRUE","SD FALSE",2,4,100
"63",0.217,"In TRUE","SD FALSE",2,1,150,0.61,"In TRUE","SD FALSE",2,2,150,0.723,"In TRUE","SD FALSE",2,3,150,0.235,"In TRUE","SD FALSE",2,4,150
"64",0.235,"In TRUE","SD FALSE",2,1,200,0.667,"In TRUE","SD FALSE",2,2,200,0.827,"In TRUE","SD FALSE",2,3,200,0.209,"In TRUE","SD FALSE",2,4,200
"65",0.211,"In TRUE","SD FALSE",2,1,250,0.776,"In TRUE","SD FALSE",2,2,250,0.879,"In TRUE","SD FALSE",2,3,250,0.229,"In TRUE","SD FALSE",2,4,250
"66",0.219,"In TRUE","SD FALSE",2,1,300,0.824,"In TRUE","SD FALSE",2,2,300,0.93,"In TRUE","SD FALSE",2,3,300,0.226,"In TRUE","SD FALSE",2,4,300
"67",0.221,"In TRUE","SD FALSE",2,1,350,0.865,"In TRUE","SD FALSE",2,2,350,0.962,"In TRUE","SD FALSE",2,3,350,0.188,"In TRUE","SD FALSE",2,4,350
"68",0.204,"In TRUE","SD FALSE",2,1,400,0.906,"In TRUE","SD FALSE",2,2,400,0.97,"In TRUE","SD FALSE",2,3,400,0.218,"In TRUE","SD FALSE",2,4,400
"69",0.209,"In TRUE","SD FALSE",2,1,450,0.92,"In TRUE","SD FALSE",2,2,450,0.982,"In TRUE","SD FALSE",2,3,450,0.197,"In TRUE","SD FALSE",2,4,450
"70",0.206,"In TRUE","SD FALSE",2,1,500,0.952,"In TRUE","SD FALSE",2,2,500,0.993,"In TRUE","SD FALSE",2,3,500,0.21,"In TRUE","SD FALSE",2,4,500
"71",0.063,"In FALSE","SD FALSE",2,1,50,0.072,"In FALSE","SD FALSE",2,2,50,0.08,"In FALSE","SD FALSE",2,3,50,0.063,"In FALSE","SD FALSE",2,4,50
"72",0.067,"In FALSE","SD FALSE",2,1,100,0.067,"In FALSE","SD FALSE",2,2,100,0.061,"In FALSE","SD FALSE",2,3,100,0.061,"In FALSE","SD FALSE",2,4,100
"73",0.077,"In FALSE","SD FALSE",2,1,150,0.057,"In FALSE","SD FALSE",2,2,150,0.067,"In FALSE","SD FALSE",2,3,150,0.051,"In FALSE","SD FALSE",2,4,150
"74",0.061,"In FALSE","SD FALSE",2,1,200,0.056,"In FALSE","SD FALSE",2,2,200,0.083,"In FALSE","SD FALSE",2,3,200,0.051,"In FALSE","SD FALSE",2,4,200
"75",0.066,"In FALSE","SD FALSE",2,1,250,0.054,"In FALSE","SD FALSE",2,2,250,0.069,"In FALSE","SD FALSE",2,3,250,0.066,"In FALSE","SD FALSE",2,4,250
"76",0.068,"In FALSE","SD FALSE",2,1,300,0.067,"In FALSE","SD FALSE",2,2,300,0.07,"In FALSE","SD FALSE",2,3,300,0.052,"In FALSE","SD FALSE",2,4,300
"77",0.064,"In FALSE","SD FALSE",2,1,350,0.069,"In FALSE","SD FALSE",2,2,350,0.064,"In FALSE","SD FALSE",2,3,350,0.069,"In FALSE","SD FALSE",2,4,350
"78",0.065,"In FALSE","SD FALSE",2,1,400,0.075,"In FALSE","SD FALSE",2,2,400,0.054,"In FALSE","SD FALSE",2,3,400,0.054,"In FALSE","SD FALSE",2,4,400
"79",0.048,"In FALSE","SD FALSE",2,1,450,0.069,"In FALSE","SD FALSE",2,2,450,0.055,"In FALSE","SD FALSE",2,3,450,0.054,"In FALSE","SD FALSE",2,4,450
"80",0.073,"In FALSE","SD FALSE",2,1,500,0.06,"In FALSE","SD FALSE",2,2,500,0.092,"In FALSE","SD FALSE",2,3,500,0.058,"In FALSE","SD FALSE",2,4,500
"81",0.527,"In TRUE","SD TRUE",3,1,50,0.671,"In TRUE","SD TRUE",3,2,50,0.74,"In TRUE","SD TRUE",3,3,50,0.53,"In TRUE","SD TRUE",3,4,50
"82",0.494,"In TRUE","SD TRUE",3,1,100,0.794,"In TRUE","SD TRUE",3,2,100,0.886,"In TRUE","SD TRUE",3,3,100,0.519,"In TRUE","SD TRUE",3,4,100
"83",0.517,"In TRUE","SD TRUE",3,1,150,0.864,"In TRUE","SD TRUE",3,2,150,0.958,"In TRUE","SD TRUE",3,3,150,0.545,"In TRUE","SD TRUE",3,4,150
"84",0.517,"In TRUE","SD TRUE",3,1,200,0.903,"In TRUE","SD TRUE",3,2,200,0.981,"In TRUE","SD TRUE",3,3,200,0.522,"In TRUE","SD TRUE",3,4,200
"85",0.541,"In TRUE","SD TRUE",3,1,250,0.951,"In TRUE","SD TRUE",3,2,250,0.991,"In TRUE","SD TRUE",3,3,250,0.542,"In TRUE","SD TRUE",3,4,250
"86",0.55,"In TRUE","SD TRUE",3,1,300,0.972,"In TRUE","SD TRUE",3,2,300,0.995,"In TRUE","SD TRUE",3,3,300,0.543,"In TRUE","SD TRUE",3,4,300
"87",0.508,"In TRUE","SD TRUE",3,1,350,0.983,"In TRUE","SD TRUE",3,2,350,0.999,"In TRUE","SD TRUE",3,3,350,0.544,"In TRUE","SD TRUE",3,4,350
"88",0.562,"In TRUE","SD TRUE",3,1,400,0.994,"In TRUE","SD TRUE",3,2,400,1,"In TRUE","SD TRUE",3,3,400,0.572,"In TRUE","SD TRUE",3,4,400
"89",0.54,"In TRUE","SD TRUE",3,1,450,0.993,"In TRUE","SD TRUE",3,2,450,1,"In TRUE","SD TRUE",3,3,450,0.567,"In TRUE","SD TRUE",3,4,450
"90",0.562,"In TRUE","SD TRUE",3,1,500,0.999,"In TRUE","SD TRUE",3,2,500,1,"In TRUE","SD TRUE",3,3,500,0.562,"In TRUE","SD TRUE",3,4,500
"91",0.14,"In FALSE","SD TRUE",3,1,50,0.134,"In FALSE","SD TRUE",3,2,50,0.156,"In FALSE","SD TRUE",3,3,50,0.152,"In FALSE","SD TRUE",3,4,50
"92",0.14,"In FALSE","SD TRUE",3,1,100,0.134,"In FALSE","SD TRUE",3,2,100,0.131,"In FALSE","SD TRUE",3,3,100,0.133,"In FALSE","SD TRUE",3,4,100
